,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
247,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,171.1
248,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,171.6
249,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,172.1
250,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,172.6
251,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,173.1
252,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,173.6
253,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,174.1
254,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,174.6
255,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,175.1
256,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,175.6
257,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,176.1
258,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,176.6
259,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,177.1
260,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,177.6
261,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,178.1
262,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,178.6
263,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,179.1
264,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,179.6
265,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,180.1
266,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,180.6
267,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,181.1
268,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,181.6
269,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,182.1
270,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,182.6
271,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,183.1
272,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,183.6
273,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,184.1
274,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,184.6
275,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,185.1
276,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,185.6
277,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,186.1
278,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,186.6
279,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,187.1
280,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,187.6
281,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,188.1
282,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,188.6
283,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,189.1
284,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,189.6
285,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,190.1
286,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,190.6
287,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,191.1
288,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,191.6
